Category,Device / Model,URL,Price,IN,OUT,"max. Output 
Resolution",Camera,Microphone,Speaker,Persons #,Room size,OS,OS Version,Details,Datasheet,Videos
Camera,Logitech C920,https://www.logitech.com/products/webcams/c920-pro-hd-webcam.960-001055.html,67 €,,USB-A,1080p30,3MP dFOV: 78°,2 omni-directional,–,1,,,,,,
Camera,Logitech C930e,https://www.logitech.com/de-de/products/webcams/c930e-business-webcam.960-000972.html,90 €,,USB-A,1080p,dFOV: 90°,2 omni-directional,,,,,,,https://www.logitech.com/content/dam/logitech/de/video-collaboration/pdf/c930e-datasheet.pdf,
,,,,,,,,,,,,,,,,
Camera,Jabra PanaCast,https://www.jabra.com.de/business/video-conferencing/jabra-panacast,"256 € /
 500 € UVP",,USB-C,4k30,3x 13MP  FoV: 180°,–,–,,,,,,,
,,,,,,,,,,,,,,,,
Camera,OBSBOT TINY,https://www.obsbot.com/de/obsbot-tiny-4k-webcam/specs,229 €,,USB,1080p30,FoV(D): 90°,dual omni-directional mics with noise reduction,–,1,,,,,https://www.obsbot.com/de/obsbot-tiny-4k-webcam/specs,
Camera,OBSBOT TINY 2,https://www.obsbot.com/de/obsbot-tiny-2-4k-webcam,369 €,,USB,4k30 & 1080p60,50MP,,–,1,,,,,https://www.obsbot.com/de/obsbot-tiny-2-4k-webcam/specs,
Camera,OBSBOT TINY 4K,https://www.obsbot.com/de/obsbot-tiny-4k-webcam,264 €,,USB,4k30 & 1080p60,FoV(D): 86°,,–,1,,,,,https://www.obsbot.com/de/obsbot-tiny-4k-webcam/specs,
,,,,,,,,,,,,,,,,
Camera,Kandao Meeting Pro,https://www.kandaovr.com/meeting-pro/,899 €,,"HDMI, USB, 
Ethernet","1920*1080
1280*720",,"8 microphones and 8 beam forming
Pickup range: 5.5m","build-in speaker, 5W",,,Android,,,https://www.kandaovr.com/meeting-pro/tech-spec/,
,,,,,,,,,,,,,,,,
Camera with Speaker,Owl Labs Meeting Owl 3,https://owllabs.com/products/meeting-owl-3,899 - 1026 €,,USB-C,1080p30,"16 MP  360° FoV 
Video Pickup Radius: 10’ (3m)","8 omni-directional beamforming Smart Mics
Audio Pickup Radius: 18’ (5.5m) ","3 built-in speakers for 360° coverage and clear in-room sound
Speaker Output Level: 80 db SPL",,,,,,https://resources.owllabs.com/hubfs/website/pdps/mo3%20datasheet/datasheet_mo3_en.pdf,
Meeting-Bar,Owl Labs Owl Bar,https://owllabs.com/products/owl-bar,2.199 €,,"USB 3.0: 
1x Typ C, 
1x Typ A",,"30 MP
Auflösung: 4K
Vertikales Sichtfeld: 73°
Horizontales Sichtfeld: 114°
","4 omnidirektionale Beamforming Mikrofone
Aufnahmebereich: 5,5 m


Zusatzmikrofone: 
Option zum Anschließen eines Expansion Mic bei Kopplung mit der Meeting Owl 3
",1 High-Fidelity-Lautsprecher,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Meeting-Bar,Yealink MeetingBar A10,https://www.yealink.com/website-service/attachment/product_resource/documents/20230309/20230309034403793ff6fb5af4b01bc7b157768e829ef.pdf,799 €, USB 3.0 Type-C ,"HDMI, Ethernet",4k30,8MP   FoV:120° ,8 MEMS microphone array,built-in speaker,1-7,Small meeting room(4.5 m x 4.5 m),Android,11,,https://www.yealink.com/website-service/attachment/product_resource/documents/20230309/20230309034403793ff6fb5af4b01bc7b157768e829ef.pdf, 
Meeting-Bar,Yealink MeetingBar A20,https://www.yealink.com/en/product-detail/microsoft-teams-rooms-meetingbar-a20,1.299 €,,"2x HDMI, 
Ethernet",4k60,20MP FoV: 120°,,,6-13,Small meeting room(4.5 m x 4.5 m),Android,10,,https://www.yealink.com/website-service/attachment/product_resource/documents/20221118/202211180143382171ac7203145a6ae20b969c7a45d94.pdf,
Meeting-Bar,Yealink MeetingBar A30,https://www.yealink.com/en/product-detail/microsoft-teams-rooms-meetingbar-a30,1.905 €,,,4k60,"8MP Dual-camera system 
Camera 1: 8MP / 90° / 3.5X optical
Camera 2: 8MP / 120° / 4X digital",,2 built-in speakers ,10-15,Medium size room (4.5 m x 6 m),Android,10,,,
,,,,,,,,,,,,,,,,
Meeting-Bar,Jabra PanaCast 50 VBS,,3.000 €,"1x HDMI, (USB…)","2x HDMI, 
Ethernet",,,,,,Medium size room (4.5 m x 6 m),Android,10,,,https://www.youtube.com/watch?v=cG93eDlUkkU
,,,,,,,,,,,,,,,,
Meeting-Bar,Logitech Rally Bar Huddle,,1.600 €,,,,,,,,Focus room (3 m x 3 m),Android,11,,,
Meeting-Bar,Logitech Rally Bar Mini,,2.155 €,,,,,,,,Small Meeting Room (4.5 m x 4.5 m),Android,10,,,
Meeting-Bar,Logitech Rally Bar,https://www.logitech.com/products/video-conferencing/room-solutions/rallybar.960-001308.html ,4.000 €,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,https://www.youtube.com/watch?v=lVlAzjRO7Qs
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Camera with Speaker,Yealink Smartvision 60,https://www.yealink.com/product-detail/smartvision60,3000 - 5300 €,, USB 3.0 Type-C ,,"10k camera
• 360° HFOV，60° VFOV","6 MEMS microphone arrays for meeting
audio

6+1 Microphone arrays for AI audio","Maximum Output: 7W
 -Effective Power: 5W
 -Sensitivity: 85 dB5W / 1M
 -Frequency Response: 100-22K",,,,,,https://www.yealink.com/website-service/download/yealink-smartvision-60-datasheet.pdf,https://www.youtube.com/watch?v=F4mbVhIG1OY
,,,,,,,,,,,,,,,,
,Cisco Room Kit EQ,,,,,,,,,,Large rooms (4.5 m x 8.5 m),Android,11,,,
,Cisco Room Kit Pro,,,,,,,,,,Large rooms (4.5 m x 8.5 m),Android,11,,,
,Cisco Room Bar,,,,,,,,,,Small Meeting Room (4.5 m x 4.5 m),Android,11,,,
,Cisco Desk Pro,,,,,,,,,,Focus Room,Android,11,,,
,Audiocodes RXV81 Collaboration Bar,,,,,,,,,,Small meeting room (4.5 m x 4.5 m),Android,12,,,
,"DTEN D7X 55""",,,,,,,,,,Small meeting room (4.5 m x 4.5 m),Android,12,,,
,Cisco Board Pro 55,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,11,,,
,Cisco Board Pro 75,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,11,,,
,EPOS Expand 5T,,,,,,,,,,Small meeting room (4.5 m x 4.5 m),Android,10,,,
,"Yealink MeetingBoard 86""",,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,"Yealink MeetingBoard 65""",,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,Yealink DeskVision A24,,,,,,,,,,Phone room (2 m x 2 m),Android,10,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Neat Bar Pro,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,Neat Bar,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,Neat Board,,,,,,,,,,Small Meeting Room (4.5 m x 4.5 m),Android,10,,,
,Logitech Roommate,,,,,,,,,,Large meeting room (4.5 m x 8.5 m),Android,10,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,AudioCodes RXV80,,,,,,,,,,"Focus room(3 m x 3 m)
Small meeting room(4.5 m x 4.5 m)",Android,9,,,
,Poly Studio 4k,https://www.poly.com/de/de/products/video-conferencing/studio/studio,680 €,,"USB-A, USB-C",4k,60fps (1080p),6 Beamforming-Mikrofon-Elemente,"Stereo-Lautsprecher, 90db (0,5m)",,,,,,https://www.poly.com/content/dam/www/products/video/studio/studio/doc/poly-studio-ds-de.pdf,
,Poly Studio P15,https://www.poly.com/de/de/products/video-conferencing/studio-p/studio-p15,290 €,,"USB-A, USB-C",4k,dFOV 90 Grad,3 Beamforming-Mikrofon-Elemente,,,,,,,,
,Poly Studio X30,,,,,,,,,,Small meeting room(4.5 m x 4.5 m),Android,10,,,
,Poly Studio X50,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,Poly Studio X70,,,,,,,,,,Large meeting room (4.5 m x 8.5 m),Android,10,,,
,Poly G7500,,,,,,,,,,Large meeting room (4.5 m x 8.5 m),Android,10,,,
,Poly Studio X52,,,,,,,,,,Medium size room (4.5 m x 6 m),Android,10,,,
,Poly G7500 + Shure Large Room Kit,,,,,,,,,,Large meeting room (4.5 m x 8.5 m),Android,10,,,
